DATE,PROFIT LOSS PERCENTAGE,PROFIT LOSS AMOUNT
20150112,-0.01274695499999998,-127.4695499999998
20150128,-0.0013424238159734454,-13.253120000003037
20150202,-0.006215110697165243,-61.27650000000176
20150209,0.00823436549964035,80.68031999999948
20150223,-0.006639044119771087,-65.58500000000095
20150309,0.0193618035628848,189.999240000001
20150316,-0.01632258552320004,-163.27638000000297
20150330,0.019325749773114964,190.16187999999966
20150406,-0.035996231095511214,-361.0415100000009
20150427,-0.007926408159981335,-76.63995999999679
20150511,0.005662542172812901,54.31679999999869
20150525,0.011605619778662386,111.9549599999973
20150601,-0.009174478348170935,-89.5297999999948
20150615,-0.003363798821595061,-32.52470999999787
20150629,0.004204864826949922,40.52024999999958
20150706,-0.004162279252728264,-40.27853000000141
20150713,0.0066954257218852465,64.52219999999943
20150727,-0.005521807095778532,-53.568600000000515
20150803,-0.005059870158914425,-48.816170000001875
20150824,0.01737810193256158,166.81058999999914
20150831,0.006270258128720493,61.23350000000028
20150929,-0.013106503263435512,-128.79681999999957
20151026,0.021815000875595524,211.5650000000005
20151106,-0.010020014625880092,-99.2954200000022
20151109,0.0033377066899674904,32.7442800000008
20151127,-0.0024031893548134265,-23.654969999997775
20151130,-0.002914250647159454,-28.61648999999852
20151207,0.0023179813534923966,22.695089999999254
20151221,-0.013561788066552656,-133.0896999999968
20160104,-0.006601567089126558,-63.90640999999778
20160118,0.0010421340374291309,10.021769999999378
20160201,-0.0021206435052029183,-20.414600000001883
20160208,0.014926251252676267,143.38442999999825
20160222,-0.030967789556413168,-301.9228200000016
20160229,-0.004965575975176638,-46.913039999999455
20160314,0.003988858234813547,37.49822000000131
20160328,-0.019325327639556304,-182.3970500000014
20160418,-0.002309704663499898,-21.37826000000132
20160429,-0.00599893023342303,-55.39689999999791
20160509,-0.008001524146319725,-73.44651999999769
20160523,-0.012318636588786921,-112.16881999999896
20160606,0.0027340250509046817,24.58832000000075
20160620,0.00937441367520331,84.5388299999995
20160704,-0.032876751950237974,-299.2631999999958
20160801,-0.001065621323462244,-9.380999999999403
20160808,0.0012266523956775725,10.787099999999555
20160822,0.007777140302844442,68.47555000000102
20160912,-0.005835335678265069,-51.778080000000045
20160919,0.018780460520952016,165.67029999999977
20161003,-0.004129365052333322,-37.110969999999725
20161017,0.004322971650567311,38.69049999999879
20161114,0.014214523968474516,127.76964000000044
20170103,0.03274067835006272,298.478360000001
20170109,-0.0014911062039264329,-14.038640000000669
20170130,0.012914665555176138,121.40919000000031
20170213,-0.0034317124399816604,-32.67774999999892
20170227,-0.0003549629905036967,-3.3684599999996863
20170306,-0.012590141386220579,-119.43311000000176
20170313,-0.010668992655903086,-99.93439999999828
20170403,-0.011786127779330986,-109.22055
20170501,0.0107622843182113,98.5572600000014
20170522,-0.011901415669839576,-110.16200000000026
20170605,0.003056655804018319,27.956319999999323
20170619,0.0004240416683747991,3.890160000000833
20170626,0.014738012480368571,135.26392000000305
20170710,-0.012375024443507751,-115.25056000000404
20170724,-0.008052918461528391,-74.07000000000153
20170814,0.022437515741799925,204.7162500000013
20170904,-0.012271338271503585,-114.47384000000056
20170911,0.0034189251592802567,31.50224999999955
20170925,0.012882717012478458,119.10821999999825
20171016,-0.005747689158278128,-53.825330000003305
20171027,0.010500432378724004,97.76810999999725
20171030,0.012176565576777014,114.56484000000091
20171106,0.004296233211512834,40.913879999998244
20171113,0.002795659443130317,26.737999999999374
20171127,-0.0029516883310151433,-28.30919999999969
20171204,0.005248090554811754,50.18508000000111
